Model,Metric,Bootstrap_Mean,Bootstrap_SD,Bootstrap_Median,CI_2_5,CI_97_5,Point_Estimate,Bootstrap_Bias
Softmax_LR,Macro_Sensitivity,0.9187289405684754,0.018460741828755126,0.92015503875969,0.8780329457364341,0.9517441860465117,0.9189922480620155,-0.0002633074935400881
Softmax_LR,Macro_Specificity,0.9553415869257834,0.009068755513306546,0.9560356449968762,0.9363170398868831,0.9723784157048435,0.9555095195817302,-0.00016793265594683415
Softmax_LR,Weighted_F1,0.9073020739568188,0.01750797963598435,0.9080339559404548,0.8735230310519642,0.940419767280603,0.907679406422692,-0.00037733246587312586
XGBoost,Accuracy,0.9161528384279476,0.01802686553089021,0.9170305676855895,0.8820960698689956,0.9475982532751092,0.9170305676855895,-0.0008777292576419571
XGBoost,Class0_Sensitivity,0.8821083333333334,0.02870498439133325,0.8833333333333333,0.825,0.9333333333333333,0.8833333333333333,-0.0012249999999999206
XGBoost,Class0_Specificity,0.9536330275229358,0.01986778487484602,0.9541284403669725,0.908256880733945,0.9908256880733946,0.9541284403669725,-0.0004954128440367578
XGBoost,Class1_AUC,0.9665458864716179,0.011816081545280797,0.9678669667416854,0.9399724931232808,0.9856245311327831,0.9671167791947988,-0.0005708927231808936
XGBoost,Class1_F1,0.7985059350677419,0.04061225206160442,0.8,0.7169811320754716,0.8723404255319149,0.8,-0.0014940649322581212
XGBoost,Class1_NPV,0.9715584026422605,0.011888432476209463,0.9717514124293786,0.9447513812154696,0.9940837104072398,0.9717514124293786,-0.00019300978711811467
XGBoost,Class1_PPV,0.7310885099902003,0.05001031532310373,0.7307692307692307,0.6378918495297806,0.8297872340425532,0.7307692307692307,0.0003192792209695261
XGBoost,Class1_Sensitivity,0.8824651162790698,0.05036252445019107,0.8837209302325582,0.7674418604651163,0.9767441860465116,0.8837209302325582,-0.0012558139534883939
XGBoost,Class1_Specificity,0.9239408602150537,0.018519344768602126,0.9247311827956989,0.8870967741935484,0.956989247311828,0.9247311827956989,-0.000790322580645153
XGBoost,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
XGBoost,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
XGBoost,Kappa,0.8649639776766237,0.028518758200676522,0.8662424298318423,0.809013029074407,0.9153210896092691,0.8662424298318423,-0.0012784521552186012
XGBoost,Macro_AUC,0.9820558918208145,0.006345958095268423,0.9827395495662907,0.9677565038239682,0.9923029782675026,0.9823620660516812,-0.0003061742308666515
XGBoost,Macro_F1,0.9050635238598536,0.019568689523762735,0.905916305916306,0.8662824982211272,0.9402054292002934,0.905916305916306,-0.0008527820564524502
XGBoost,Macro_Sensitivity,0.9215244832041344,0.01959213101620153,0.9223514211886306,0.8813808139534883,0.954562338501292,0.9223514211886306,-0.0008269379844961788
XGBoost,Macro_Specificity,0.9591912959126632,0.009199617828017436,0.9590937489724113,0.9402189997040544,0.9759626450955247,0.9596198743875571,-0.0004285784748939703
XGBoost,Weighted_F1,0.918506164145551,0.01719984859388131,0.9193444110474678,0.8847451921278108,0.9489246364460621,0.9193444110474678,-0.000838246901916806
